isco_code,occupation,task,vector,difficulty_threshold,time_weight_pct,machine_credit_2026
2151,Electrical Engineers,"Advising on and designing systems for electrical motors, electrical traction and other equipment, or electrical domestic appliances.",C_G,0.6,6.9,0.44
2151,Electrical Engineers,Specifying electrical installation and application in industrial and other buildings and objects.,C_G,0.6,6.9,0.44
2151,Electrical Engineers,"Establishing control standards and procedures to monitor performance and safety of electrical generating and distribution systems, motors and equipment.",C_G,0.52,6.9,0.599
2151,Electrical Engineers,"Determining manufacturing methods for electrical systems, as well as maintenance and repair of existing electrical systems, motors and equipment.",C_G,0.58,6.9,0.48
2151,Electrical Engineers,"Advise on technological aspects of electrical engineering materials, products.",C_G,0.6,6.9,0.44
2162,Landscape Architects,"Confer with clients, engineering personnel, or architects on landscape projects.",C_G,0.42,10.6,0.769
2162,Landscape Architects,"Analyze data on conditions such as site location, drainage, or structure location for environmental reports or landscaping plans.",C_G,0.6,9.9,0.44
2162,Landscape Architects,"Prepare site plans, specifications, or cost estimates for land development.",C_G,0.42,10.6,0.769
2162,Landscape Architects,"Inspect landscape work to ensure compliance with specifications, evaluate quality of materials or work, or advise clients or construction personnel.",Phi_U,0.6,11.0,0.027
2162,Landscape Architects,Collaborate with architects or related professionals on whole building design to maximize the aesthetic features of structures or surrounding land and to improve energy efficiency.,C_G,0.6,9.3,0.44
2162,Landscape Architects,Prepare graphic representations or drawings of proposed plans or designs.,C_G,0.6,9.0,0.44
2162,Landscape Architects,Developing new or improved theories and methods in landscape architecture.,C_G,0.7,6.6,0.261
2162,Landscape Architects,"Inspecting sites and consulting clients, management and other stakeholders to determine type, style and size of proposed buildings, parks, roads and other open spaces.",Phi_U,0.6,6.6,0.027
2162,Landscape Architects,"Compiling and analyzing site and community data about geographical and ecological features, landforms, soils, vegetation, site hydrology, visual characteristics and human-made structures, to formul...",C_G,0.6,6.6,0.44
2162,Landscape Architects,Writing specifications and contract documents for use by builders and civil engineering contractors and calling tenders on behalf of clients.,C_G,0.6,6.6,0.44
2162,Landscape Architects,"Identifying and finding best solutions for problems regarding function and quality of exterior environments and making necessary designs, drawings and plans.",C_G,0.6,6.6,0.44
2162,Landscape Architects,Maintaining technical liaison and consultancy with other relevant specialists.,C_G,0.42,6.6,0.769
2144,Mechanical Engineers,"Research, design, evaluate, install, operate, or maintain mechanical products, equipment, systems or processes to meet requirements.",C_G,0.7,14.8,0.261
2144,Mechanical Engineers,"Specify system components or direct modification of products to ensure conformance with engineering design, performance specifications, or environmental regulations.",C_G,0.7,15.2,0.261
2144,Mechanical Engineers,"Design complete hull and superstructure according to specifications and test data, in conformity with standards of safety, efficiency, and economy.",C_G,0.52,14.4,0.599
2144,Mechanical Engineers,"Advising on and designing machinery and tools for manufacturing, mining, construction, agricultural, and other industrial purposes.",C_G,0.6,11.1,0.44
2144,Mechanical Engineers,"Advising on and designing steam, internal combustion and other non-electric motors and engines used for propulsion of railway locomotives, road vehicles or aircraft, or for driving industrial or…",C_G,0.7,11.1,0.261
2144,Mechanical Engineers,"Advising on and designing: hulls, superstructures and propulsion systems of ships.",C_G,0.6,11.1,0.44
2144,Mechanical Engineers,"Advising on and designing airframes, undercarriages and other equipment for aircraft as well as suspension systems, brakes, vehicle bodies and other components of road vehicles.",C_G,0.6,11.1,0.44
2144,Mechanical Engineers,"Ensuring that equipment, operation and maintenance comply with design specifications and safety standards.",C_G,0.52,11.1,0.599
2161,Architects,Develop final construction plans that include aesthetic representations of the structure or details for its construction.,C_G,0.6,10.4,0.44
2161,Architects,"Prepare scale drawings or architectural designs, using computer-aided design or other tools.",C_G,0.6,10.1,0.44
2161,Architects,"Prepare information regarding design, structure specifications, materials, color, equipment, estimated costs, or construction time.",C_G,0.6,12.0,0.44
2161,Architects,Integrate engineering elements into unified architectural designs.,C_G,0.6,9.9,0.44
2161,Architects,Plan layouts of structural architectural projects.,C_G,0.55,9.7,0.54
2161,Architects,Conduct periodic on-site observations of construction work to monitor compliance with plans.,Phi_U,0.58,11.1,0.031
2161,Architects,Prepare contract documents for building contractors.,C_R,0.58,9.4,0.808
2161,Architects,Developing new or improved architectural theories and methods.,C_G,0.6,6.8,0.44
2161,Architects,"Inspecting sites and consulting clients, management and other stakeholders to determine type, style and size of proposed buildings and alterations to existing buildings.",Phi_U,0.6,6.8,0.027
2161,Architects,Writing specifications and contract documents for use by builders and calling tenders on behalf of clients.,C_G,0.6,6.8,0.44
2161,Architects,"Identifying and finding best solutions for problems regarding function and quality of interior environments of buildings and making necessary designs, drawings and plans.",C_G,0.6,6.8,0.44
2164,Urban Planners,"Design, promote, or administer government plans or policies affecting land use, zoning, public utilities, community facilities, housing, or transportation.",C_G,0.75,10.4,0.192
2164,Urban Planners,Mediate community disputes or assist in developing alternative plans or recommendations for programs or projects.,C_G,0.55,10.0,0.54
2164,Urban Planners,Evaluate proposals for infrastructure projects or other development for environmental impact or sustainability.,C_G,0.6,9.6,0.44
2164,Urban Planners,"Discuss with planning officials the purpose of land use projects, such as transportation, conservation, residential, commercial, industrial, or community use.",S_E,0.55,11.3,0.168
2164,Urban Planners,Review and evaluate environmental impact reports pertaining to private or public planning projects or programs.,C_G,0.55,10.0,0.54
2164,Urban Planners,Develop plans for public or alternative transportation systems for urban or regional locations to reduce carbon output associated with transportation.,C_G,0.6,8.5,0.44
2164,Urban Planners,Planning layout and coordinating development of urban areas.,C_G,0.42,6.7,0.769
2164,Urban Planners,"Compiling and analyzing data on economic, legal, political, cultural, demographic, sociological, physical and environmental factors affecting land use.",C_G,0.7,6.7,0.261
2164,Urban Planners,"Conferring with government authorities, communities and specialists in fields such as architecture, planning, social science the environment and the law.",C_G,0.42,6.7,0.769
2164,Urban Planners,"Devising and recommending use and development of land, and presenting narrative and graphic plans, programs and designs to groups and individuals.",C_G,0.48,6.7,0.673
2164,Urban Planners,"Advising governments, companies and communities on urban and regional planning issues and proposals.",C_G,0.6,6.7,0.44
2164,Urban Planners,Planning and advising on routing and control of road traffic and public transportation systems for efficiency and safety.,C_G,0.48,6.7,0.673
2211,Physicians,"Perform such medical procedures as emergent cricothyrotomy, endotracheal intubation, and emergency thoracotomy.",Phi_U,0.88,9.2,0.003
2211,Physicians,"Prescribe or administer treatment, therapy, medication, vaccination, and other specialized medical care to treat or prevent illness, disease, or injury.",Phi_U,0.7,10.1,0.012
2211,Physicians,"Collect, record, and maintain patient information, such as medical history, reports, or examination results.",C_R,0.43,9.2,0.933
2211,Physicians,"Order, perform, and interpret tests and analyze records, reports, and examination information to diagnose patients' condition.",C_G,0.7,9.2,0.261
2211,Physicians,Explain procedures and discuss test results or prescribed treatments with patients.,C_G,0.7,9.2,0.261
2211,Physicians,"Diagnose diseases or study medical conditions, using techniques such as gross pathology, histology, cytology, cytopathology, clinical chemistry, immunology, flow cytometry, or molecular biology.",C_G,0.7,9.2,0.261
2211,Physicians,"Conducting physical examinations of patients and interviewing them and their families to determine their health status (b) ordering laboratory tests, X-rays and other diagnostic procedures and anal...",C_G,0.6,5.6,0.44
2211,Physicians,"Providing continuing medical care for patients including prescribing, administering, counselling on and monitoring curative treatments and preventive measures.",C_G,0.7,5.6,0.261
2211,Physicians,Performing surgery and other clinical procedures.,Phi_U,0.8,5.6,0.005
2211,Physicians,"Advising individuals, families and communities on health, nutrition and lifestyle which aid prevention or treatment of disease and disorders.",C_G,0.7,5.6,0.261
2211,Physicians,"Providing referrals to patients and families for specialized care in hospitals, rehabilitation centres or other types of health care centres.",C_G,0.55,10.3,0.54
2211,Physicians,Recording patients' medical information and history and exchanging information with specialist practitioners and other health workers as required for continuing medical care.,C_R,0.43,5.6,0.933
2211,Physicians,Conducting research in human health and medical services and disseminating the findings such as through scientific reports (k) planning and participating in programs designed to prevent the occurre...,C_G,0.48,5.6,0.673
2261,Dentists,Diagnose teeth and jaw or other dental-facial abnormalities.,C_G,0.76,10.8,0.179
2261,Dentists,"Study diagnostic records, such as medical or dental histories, plaster models of the teeth, photos of a patient's face and teeth, and X-rays, to develop patient treatment plans.",C_G,0.76,10.8,0.179
2261,Dentists,Provide patients with proposed treatment plans and cost estimates.,C_G,0.7,10.5,0.261
2261,Dentists,Examine patients to diagnose oral health conditions and diseases.,Phi_U,0.7,10.5,0.012
2261,Dentists,Administer anesthetics to limit the amount of pain experienced by patients during procedures.,Phi_U,0.6,11.9,0.027
2261,Dentists,"Diagnosing diseases, injuries, irregularities and malformations of teeth and associated structures in the mouth and jaw using a range of methods such as radiographs, salivary tests and medical hist...",C_G,0.7,6.5,0.261
2261,Dentists,"Providing preventative oral health care such as periodontal treatments, fluoride applications and oral health promotion.",Phi_U,0.7,6.5,0.012
2261,Dentists,"Providing surgical treatments such as extraction of teeth, biopsy of tissue, and performing orthodontic treatment.",Phi_U,0.76,6.5,0.008
2261,Dentists,Measuring and taking impressions of patients' jaws and teeth in order to determine the shape and size of dental prostheses.,Phi_U,0.76,6.5,0.008
2261,Dentists,"Designing , making, and fitting prosthodontic appliances such as space maintainers, bridges, and dentures, or writing fabrication instructions or prescriptions for dental prosthetic technicians.",Phi_U,0.76,6.5,0.008
2261,Dentists,Assisting in diagnosing general diseases having oral manifestations such as diabetes.,C_G,0.7,6.5,0.261
2261,Dentists,"Educating patients and families on dental hygiene, nutrition and other measures to take care of oral health.",C_G,0.5,6.5,0.636
2221,Nurses,Discuss illnesses and treatments with patients and family members.,C_G,0.7,11.6,0.261
2221,Nurses,"Educate patients and family members about mental health and medical conditions, preventive health measures, medications, or treatment plans.",C_G,0.7,11.7,0.261
2221,Nurses,"Develop treatment plans, based on scientific rationale, standards of care, and professional practice guidelines.",C_G,0.52,11.7,0.599
2221,Nurses,Monitor patients' medication usage and results.,C_G,0.6,11.7,0.44
2221,Nurses,"Planning, providing and evaluating nursing care for patients according to the practice and standards of modern nursing.",Phi_U,0.52,7.3,0.049
2221,Nurses,Coordinating the care of patients in consultation with other health professionals and members of health teams.,S_E,0.55,9.3,0.168
2221,Nurses,"Planning and providing personal care, treatments and therapies including administerin medications, and monitoring responses to treatment or care plan.",Phi_U,0.48,7.3,0.067
2221,Nurses,"Cleaning wounds and applying surgical dressings and bandages (f) monitoring pain and discomfort experienced by patients and alleviating pain using a variety of therapies, including the use of pain-...",Phi_U,0.76,7.3,0.008
2221,Nurses,"Planning and participating in health education programmes, health promotion and nurse education activities in clinical and community settings.",C_G,0.48,7.3,0.673
2221,Nurses,"Answering questions from patients and families and providing information about prevention of ill-health, treatment and care.",C_G,0.7,7.3,0.261
2221,Nurses,Conducting research on nursing practices and procedures and disseminating findings such as through scientific papers and reports.,C_G,0.7,7.3,0.261
2262,Pharmacists,"Provide information and advice regarding drug interactions, side effects, dosage, and proper medication storage.",C_R,0.43,12.5,0.933
2262,Pharmacists,"Maintain records, such as pharmacy files, patient profiles, charge system files, inventories, control records for radioactive nuclei, or registries of poisons, narcotics, or controlled drugs.",C_R,0.28,10.5,0.979
2262,Pharmacists,"Collaborate with other health care professionals to plan, monitor, review, or evaluate the quality or effectiveness of drugs or drug regimens, providing advice on drug applications or characteristics.",C_G,0.6,11.9,0.44
2262,Pharmacists,"Plan, implement, or maintain procedures for mixing, packaging, or labeling pharmaceuticals, according to policy and legal requirements, to ensure quality, security, and proper disposal.",C_G,0.55,10.3,0.54
2262,Pharmacists,"Order and purchase pharmaceutical supplies, medical supplies, or drugs, maintaining stock and storing and handling it properly.",C_G,0.6,10.3,0.44
2262,Pharmacists,"Receiving prescriptions for medicinal products from medical doctors and other health professionals, checking patients' medicine histories, and ensuring proper dosage and methods of administration a...",C_R,0.43,7.4,0.933
2262,Pharmacists,"Preparing or supervising the preparation and labelling of liquid medicines, ointments, powders, tablets and other medications to fill prescriptions.",C_G,0.6,7.4,0.44
2262,Pharmacists,"Maintaining prescription files and recording issue of narcotics, poisons and habit-forming drugs in accordance with legal and professional requirements.",C_R,0.28,7.4,0.979
2262,Pharmacists,"Storing and preserving vaccines, serums and other drugs subject to deterioration.",C_G,0.6,7.4,0.44
2262,Pharmacists,Advising clients on and supplying non-prescription medicines and diagnostic and therapeutic aids for common conditions.,C_G,0.6,7.4,0.44
2262,Pharmacists,"Conducting research to develop and improve pharmaceuticals, cosmetics and related chemical products.",C_G,0.7,7.4,0.261
2240,Paramedical Practitioners,Make tentative diagnoses and decisions about management and treatment of patients.,C_G,0.7,11.2,0.261
2240,Paramedical Practitioners,Interpret diagnostic test results for deviations from normal.,C_G,0.6,11.2,0.44
2240,Paramedical Practitioners,"Obtain, compile, and record patient medical data, including health history, progress notes, and results of physical examination.",C_R,0.43,12.6,0.933
2240,Paramedical Practitioners,"Administer or order diagnostic tests, such as x-ray, electrocardiogram, and laboratory tests.",C_G,0.6,13.0,0.44
2240,Paramedical Practitioners,"Instruct and counsel patients about prescribed therapeutic regimens, normal growth and development, family planning, emotional problems of daily living, and health maintenance.",C_G,0.7,11.0,0.261
2240,Paramedical Practitioners,"Performing basic or more routine medical and surgical procedures, including prescribing and administering treatments, medications and other preventive or curative measures, especially for common…",Phi_U,0.76,6.8,0.008
2240,Paramedical Practitioners,"Performing therapeutic procedures, such as injections, immunizations, suturing and wound care, and infection management.",Phi_U,0.6,6.8,0.027
2240,Paramedical Practitioners,Assisting medical doctors with complex surgical procedures.,Phi_U,0.76,6.8,0.008
2240,Paramedical Practitioners,"Monitoring patients' progress and response to treatment, and identifying signs and symptoms requiring referral to medical doctors.",C_G,0.7,6.8,0.261
2240,Paramedical Practitioners,"Advising patients and families on diet, exercise and other habits which aid prevention or treatment of disease and disorders.",C_G,0.7,6.8,0.261
2240,Paramedical Practitioners,"Identifying and referring complex or unusual cases to medical doctors, hospitals or other places for specialized care.",C_G,0.65,6.8,0.345
2114,Earth Scientists,"Plan or conduct geological, geochemical, or geophysical field studies or surveys, sample collection, or drilling and testing programs used to collect data for research or application.",C_G,0.65,12.7,0.345
2114,Earth Scientists,"Analyze and interpret geological data, using computer software.",C_G,0.6,16.9,0.44
2114,Earth Scientists,"Prepare geological maps, cross-sectional diagrams, charts, or reports concerning mineral extraction, land use, or resource management, using results of fieldwork or laboratory research.",C_G,0.7,11.8,0.261
2114,Earth Scientists,"Conducting research and improving or developing concepts, theories and operational methods related to geology and geophysics.",C_G,0.7,8.4,0.261
2114,Earth Scientists,"Interpreting research data and preparing geological reports, maps, charts and diagrams, reports and papers.",C_G,0.7,8.4,0.261
2114,Earth Scientists,"Applying geological knowledge to problems encountered in civil engineering projects such as the construction of dams, bridges, tunnels, and large buildings.",C_G,0.65,8.4,0.345
2114,Earth Scientists,"Using various remote sensing programs to investigate and measure seismic, gravitational, electrical, thermal, and magnetic forces affecting the Earth.",C_G,0.6,8.4,0.44
2114,Earth Scientists,"Estimating weight, size and mass of the Earth and composition and structure of its interior, and studying the nature, activity and predictability of volcanoes, glaciers and earthquakes.",C_G,0.75,8.4,0.192
2114,Earth Scientists,"Charting the Earth's magnetic field and applying this and other collected data for broadcasting, navigation and other purposes.",C_G,0.6,8.4,0.44
2114,Earth Scientists,"Locating and determining the nature and extent of oil, gas and mineral deposits using seismological, gravimetric, magnetic, electrical or radiometric methods.",C_G,0.58,8.4,0.48
2113,Chemists,"Conduct research on the structures and properties of materials, such as metals, alloys, polymers, and ceramics, to obtain information that could be used to develop new products or enhance existing...",C_G,0.7,11.4,0.261
2113,Chemists,Determine ways to strengthen or combine materials or develop new materials with new or specific properties for use in a variety of products and applications.,C_G,0.6,12.6,0.44
2113,Chemists,"Develop, improve, or customize products, equipment, formulas, processes, or analytical methods.",C_G,0.6,10.8,0.44
